S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (μS/cm at,CO3 (mg/L),HCO3,Cl (mg/L),F (mg/L),SO4,NO3,PO4,Total Hardness,Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Fe (ppm),As (ppb),U (ppb)
546,Bihar,Hathua,,84.2898,26.369,2023,8.43,518,0,264,11,0.74,25,0,0,260,62,26,10,2,-,-,7.32
547,Bihar,Lala Pachmawa,,84.0837,26.5414,2023,8.48,393,27,172,11,0.63,14,0,0,165,48,11,15,3,-,-,0
548,Bihar,Jamunaha,,84.1892,26.542,2023,7.9,1285,0,406,177,0.83,75,3,0,415,58,66,84,9,-,-,10.43
549,Bihar,Katiya,,84.0769,26.5712,2023,8.17,442,0,240,18,0.81,20,0,0,185,58,10,10,3,-,-,0
550,Bihar,Jalalpur,,84.308,26.596,2023,7.65,1237,0,431,206,0.25,70,20,0,420,70,60,114,2,-,-,5.88
551,Bihar,Bangra Deoria,,84.4484,26.3772,2023,7.92,624,0,338,21,0.44,17,0,0,270,50,35,17,4,-,-,6.5
552,Bihar,Nuna-Chhapra,,84.46,26.311,2023,8.24,560,0,338,7,0.61,18,3,0,240,40,34,22,2,-,-,0
553,Bihar,Phulwaria,,84.5163,26.3928,2023,8.17,573,0,332,11,0.59,8,5,0,230,42,30,35,3,-,-,4.81
554,Bihar,Bishambarpur,,84.4863,26.3426,2023,8.13,588,0,252,39,0.35,26,24,0,260,32,44,15,1,-,-,0
555,Bihar,Manjha,,84.4977,26.4028,2023,8.01,875,0,344,67,0.73,42,7,0,385,52,62,23,4,-,-,19.37
556,Bihar,Bangra,,84.445,26.3826,2023,8.06,534,0,320,11,0.69,5,0,0,230,46,28,14,3,-,-,0
557,Bihar,Bhojpurwa,,84.6977,26.3205,2023,7.78,842,0,351,57,0.6,59,3,0,320,94,21,34,39,-,-,2.11
558,Bihar,Lachchwar,,84.3712,26.3939,2023,8.18,678,0,363,43,0.76,11,0,0,245,48,30,37,3,-,-,6.75
559,Bihar,Chandra Mandih,,86.4528,24.5792,2023,8.14,1405,0,403,202,1.41,73,13,0.11,480,102,55,100,3,-,-,0
560,Bihar,Chakai,,86.4033,24.5497,2023,7.91,545,0,165,71,0.35,14,26,0,185,60,9,38,1,-,-,0.14
561,Bihar,Aghara,,86.1661,24.97,2023,7.69,517,0,244,21,0.4,22,3,0,190,40,22,31,2,-,-,0
562,Bihar,Jamui,,86.2239,24.9222,2023,7.78,539,0,244,28,0.95,20,4,0,210,40,27,28,1,-,-,0
563,Bihar,Ambedkar Nagar,,86.3603,24.7944,2023,7.78,562,0,183,71,0.3,15,21,0,210,38,28,33,1,-,-,0
564,Bihar,Chandwari,,86.375,24.774,2023,7.85,1005,0,342,89,0.81,71,29,0,305,74,29,88,3,-,-,0
565,Bihar,Jhajha,,86.3847,24.7683,2023,7.95,559,0,281,14,0.68,22,3,0,190,36,24,41,2,-,-,2.66
566,Bihar,Purna Khaira,,86.2028,24.8658,2023,8.18,410,0,171,36,0.75,10,2,0.03,130,36,10,33,5,-,-,1.31
567,Bihar,Lalmatia,,86.31,24.9836,2023,7.91,531,0,250,25,1.54,20,5,0,170,22,28,41,5,-,-,0
568,Bihar,Laxmipur,,86.3981,25.0044,2023,7.83,765,0,262,92,0.19,33,7,0.06,205,30,32,76,9,-,-,0
569,Bihar,Batia,,86.2239,24.9222,2023,8.03,511,0,250,25,0.71,11,0,0.03,190,48,17,31,2,-,-,0
570,Bihar,Sono,,86.3062,24.7371,2023,8.05,774,0,342,53,0.71,30,3,0,225,54,22,71,5,-,-,0
571,Bihar,Gaurakshini,,84.9909,25.2073,2023,7.95,1274,0,427,156,0.76,61,3,0.17,330,34,60,124,28,-,-,8.56
572,Bihar,Bolakhpur,,85.1401,25.0947,2023,7.98,596,0,281,32,0.78,11,8,0,250,44,34,22,1,-,-,9.53
573,Bihar,Lakhwar,,85.0917,25.1367,2023,7.53,738,0,317,57,0.66,13,15,0.27,290,60,34,35,4,-,-,15.6
574,Bihar,Hulasganj,,85.1477,25.0857,2023,7.68,1046,0,348,131,0.74,27,31,0,335,72,38,79,10,-,-,12.45
575,Bihar,Jehanabad Hosp.,,84.9865,25.2104,2023,7.88,1799,0,598,209,0.62,83,35,0.18,455,80,62,175,49,-,-,7.91
576,Bihar,Kako,,85.063,25.2286,2023,7.82,3136,0,817,557,0.64,83,33,0.21,980,156,143,254,25,-,-,10.51
577,Bihar,Alubikha,,85.0335,25.0721,2023,7.93,3228,0,1129,408,0.66,75,48,0.18,1030,186,137,216,89,-,-,10.5
578,Bihar,Mukhdumpur,,84.9705,25.062,2023,8.01,872,0,397,46,0.75,37,8,0.22,250,32,41,81,6,-,-,11.6
579,Bihar,Adhaura,,83.6139,24.6958,2023,7.87,1514,0,427,234,0.78,42,41,0,605,152,55,55,23,-,-,4.5
580,Bihar,Bare,,83.6193,25.1101,2023,8.15,829,0,336,71,0.83,32,6,0.11,305,82,24,43,11,-,-,4.3
581,Bihar,Bhabhua,,83.6056,25.0397,2023,7.95,686,0,268,60,0.78,19,18,0,310,90,21,15,2,-,-,8.96
582,Bihar,Saraiya,,83.591,24.9778,2023,8.21,723,0,287,60,0.84,23,21,0.07,300,68,32,22,9,-,-,0
583,Bihar,Tori Forest Chk. Post (Bhagwanpur),,83.6054,24.9478,2023,8.03,1495,0,482,185,0.68,55,48,0.05,575,148,50,60,31,-,-,1.9
584,Bihar,Khariava,,83.4629,25.0536,2023,8.01,979,0,409,75,0.87,28,26,0.07,430,82,55,20,11,-,-,3.58
585,Bihar,Chand,,83.3983,25.1142,2023,8.1,1248,0,348,195,0.84,45,20,0.11,480,110,50,53,19,-,-,4.21
586,Bihar,Karmnasa,,83.441,25.242,2023,7.83,514,0,281,18,0.79,2,0,0,235,38,34,7,3,-,-,5
587,Bihar,Keshopur,,83.4402,25.232,2023,8.22,671,0,323,32,0.74,15,12,0,285,50,39,17,9,-,-,10
588,Bihar,Mohania (N.W.),,83.6216,25.164,2023,7.94,1243,0,403,153,0.68,54,25,0,470,120,41,57,19,-,-,1.22
589,Bihar,Kaimur,Nuawan,83.7385,25.3643,2023,7.94,651,0,281,53,0.86,12,11,0,240,30,40,36,4,-,-,5.08
590,Bihar,Kaimur,Bandipur,83.6694,25.2996,2023,7.88,769,0,384,32,0.83,19,7,0,290,62,33,39,3,-,-,6.01
591,Bihar,Kaimur,Bevnaliya,83.5773,25.27,2023,8.24,441,0,220,18,0.85,7,11,0,195,40,23,10,1,-,-,4.53
592,Bihar,Kaimur,Rampur,83.7831,24.9447,2023,7.98,945,0,378,89,0.85,21,10,0,370,108,24,41,13,-,-,12.17
593,Bihar,Katihar,Balrampur,87.745,25.328,2023,7.91,486,0,177,53,0.25,19,2,0,220,40,29,10,3,-,-,3.31
594,Bihar,Katihar,Barari 1,87.3751,25.5047,2023,7.84,830,0,189,142,0.23,37,28,0.18,315,62,39,44,3,-,-,4.62
595,Bihar,Katihar,Kadwa,87.7143,25.6628,2023,7.85,889,0,311,107,0.18,21,23,0.25,315,64,38,50,14,-,-,0
596,Bihar,Katihar,Sonali,87.7163,25.6116,2023,7.56,627,0,250,46,0.22,28,15,0,240,42,33,34,2,-,-,8.17
597,Bihar,Katihar,Hafla 1,87.589,25.4911,2023,7.98,1072,0,329,146,0.24,35,27,0.22,415,82,51,53,5,-,-,20.56
598,Bihar,Katihar,Katihar,87.5491,25.561,2023,7.71,825,0,323,75,0.11,30,16,0,255,38,39,69,4,-,-,0
599,Bihar,Katihar,Khiria,87.455,25.6066,2023,7.58,790,0,214,114,0.1,21,49,0.21,310,48,46,36,3,-,-,10.61
600,Bihar,Katihar,Korha,87.3997,25.6236,2023,7.93,721,0,250,89,0,22,7,0,280,46,40,37,1,-,-,4.97
601,Bihar,Katihar,Kursela,87.2545,25.449,2023,7.54,964,0,384,85,0.34,28,23,0.18,340,60,46,58,11,-,-,17.41
602,Bihar,Katihar,Manihari,87.622,25.3392,2023,7.65,2050,0,817,174,0.24,82,27,0.19,710,116,102,130,26,-,-,22.65
603,Bihar,Katihar,Manihari (Kumari),87.6127,25.4404,2023,7.68,864,0,214,149,0.15,39,6,0,330,70,38,42,10,-,-,6.25
604,Bihar,Katihar,Basantpur,87.601,25.465,2023,7.81,554,0,177,75,0.02,17,14,0,225,30,36,22,1,-,-,5.65
605,Bihar,Katihar,Bastaul 1,87.6727,25.5191,2023,7.76,788,0,195,146,0.06,22,5,0,235,38,34,63,19,-,-,9.68
606,Bihar,Katihar,Pranpur,87.72,25.4716,2023,7.92,632,0,244,53,0.3,24,21,0,255,52,30,23,7,-,-,9.48
607,Bihar,Katihar,Dumaria,87.2492,25.5174,2023,7.65,755,0,128,170,0,22,16,0,335,62,44,17,3,-,-,14.58
608,Bihar,Khagaria,Pirnagra,86.729,25.611,2023,7.89,2241,0,763,249,0.52,116,26,0,800,156,100,121,44,-,-,11.5
609,Bihar,Khagaria,Basantpur,86.5917,25.5009,2023,7.65,723,0,415,7,0.38,10,2,0,325,70,36,13,5,-,-,0
610,Bihar,Khagaria,Chautham,86.6561,25.5419,2023,7.89,582,0,275,28,0.73,25,1,0,260,30,45,13,1,-,-,0
611,Bihar,Khagaria,Mahesh Khunt,86.6377,25.4602,2023,8.18,1035,0,366,96,0.48,70,8,0,415,106,36,37,16,-,-,0
612,Bihar,Khagaria,Gandhinagar,86.665,25.446,2023,7.95,684,0,366,14,0.83,16,1,0,310,40,51,15,1,-,-,11.55
613,Bihar,Khagaria,Jamalpur,86.6528,25.4136,2023,7.96,710,0,403,11,0.31,5,6,0,280,40,44,31,3,-,-,0.55
614,Bihar,Khagaria,Lohia Chowk,86.6357,25.4678,2023,8.01,744,0,390,25,0.53,16,2,0.07,300,48,44,28,10,-,-,0
615,Bihar,Khagaria,Durgapur  *,86.457,25.48,2023,7.77,1061,0,354,64,0.27,144,2,0,395,50,66,45,29,-,-,0.35
616,Bihar,Khagaria,Gangaur,86.345,25.5078,2023,7.81,1452,0,397,224,0.89,37,19,0,495,86,68,71,28,-,-,0
617,Bihar,Khagaria,Ismailpur,86.3912,25.5089,2023,7.88,658,0,366,11,0.63,11,2,0.14,245,30,41,36,2,-,-,0
618,Bihar,Khagaria,Kasimpur,86.4116,25.5056,2023,8.11,685,0,372,18,0.37,8,2,0,275,62,29,25,7,-,-,0
619,Bihar,Khagaria,Khagaria,86.4774,25.5041,2023,8.05,910,0,397,60,0.49,35,2,0,330,58,45,53,6,-,-,0
620,Bihar,Khagaria,Ranko,86.498,25.519,2023,7.95,1290,0,500,89,0.49,89,26,0.13,430,52,73,92,12,-,-,12.32
621,Bihar,Khagaria,Sonhauli*,86.47,25.512,2023,7.78,756,0,317,39,0.35,45,17,0,315,70,34,23,11,-,-,0
622,Bihar,Khagaria,Dewari,86.714,25.363,2023,7.78,1914,0,604,238,0.59,107,19,0.12,630,142,67,126,40,-,-,0
623,Bihar,Khagaria,Mohaddipur,86.7327,25.3907,2023,7.65,926,0,366,50,0.73,74,18,0,370,64,51,36,12,-,-,0.46
624,Bihar,Khagaria,Sabalpur,86.501,25.543,2023,7.63,761,0,427,14,0.51,5,4,0,295,38,49,37,3,-,-,0.23
625,Bihar,Kishanganj,Bahadurganj B,87.8285,26.2647,2023,7.68,442,0,159,43,0.11,14,23,0,150,20,24,27,9,-,-,1.23
626,Bihar,Kishanganj,Kishanganj,87.9487,26.0966,2023,7.91,763,0,317,50,0.31,29,29,0,215,42,27,71,9,-,-,5.65
627,Bihar,Kishanganj,Kochadhamin,87.7669,26.1611,2023,7.85,395,0,153,46,0.18,7,2,0.11,130,22,18,25,9,-,-,7.91
628,Bihar,Kishanganj,Teragachhi,87.6866,26.3814,2023,7.73,317,0,122,32,0.1,7,5,0,140,42,9,7,4,-,-,4.59
629,Bihar,Lakhisarai,Fadarpur,85.9567,25.2501,2023,8.11,1770,0,567,192,0.53,118,35,0.16,570,130,60,139,9,-,-,0
630,Bihar,Lakhisarai,East Girdha,86.0653,25.0687,2023,7.69,1247,0,512,85,1.06,72,9,0.05,310,74,30,127,27,-,-,15.88
631,Bihar,Lakhisarai,Jagbada,86.185,25.1771,2023,7.95,1074,0,464,64,0.89,51,17,0.05,275,62,29,114,9,-,-,0
632,Bihar,Lakhisarai,Nadiyama,85.9879,25.1237,2023,7.77,1725,0,470,277,0.7,83,2,0.19,510,72,80,156,8,-,-,0
633,Bihar,Lakhisarai,Arma,86.2464,25.2,2023,7.81,3005,0,677,547,0.53,159,14,0.22,980,230,98,236,6,-,-,16.53
634,Bihar,Lakhisarai,Kajra,86.23,25.16,2023,7.83,1608,0,586,149,0.87,84,33,0.09,465,100,52,151,6,-,-,8.61
635,Bihar,Lakhisarai,Rishi Paharpur,86.285,25.2781,2023,7.84,858,0,342,53,0.41,46,33,0,315,74,32,50,3,-,-,0
636,Bihar,Lakhisarai,Saidpur,86.1533,25.1833,2023,7.79,928,0,390,60,0.63,51,7,0,270,60,29,76,20,-,-,9.58
637,Bihar,Lakhisarai,Surajgarha,86.1308,25.1086,2023,8.05,524,0,220,43,0.28,15,10,0,185,36,23,34,2,-,-,0
638,Bihar,Lakhisarai,Kiul,86.1042,25.1736,2023,7.91,495,0,220,25,0.71,26,3,0,165,24,26,38,2,-,-,0
639,Bihar,Madhepura,Gwalpara,86.8956,25.7569,2023,7.78,753,0,207,67,0.25,50,76,0.14,275,42,41,31,27,-,-,0
640,Bihar,Madhepura,Kusthan,86.99,25.749,2023,7.81,961,0,342,89,0.31,65,12,0,390,78,47,35,11,-,-,4.65
641,Bihar,Madhepura,Uda Kishanganj,86.949,25.681,2023,7.88,1102,0,390,103,0.36,70,18,0,355,68,45,78,19,-,-,0.09
642,Bihar,Madhepura,Abhiya Tola,87.05,25.531,2023,7.95,440,0,207,18,0.49,23,2,0,205,44,23,3,8,-,-,0
643,Bihar,Madhepura,Chausa-1,87.0312,25.5295,2023,7.91,808,0,311,60,0.51,46,22,0,295,52,40,31,32,-,-,0
644,Bihar,Madhepura,Ganeshpur,86.9841,25.5906,2023,7.85,555,0,238,25,0.47,26,20,0,220,50,23,20,10,-,-,0.23
645,Bihar,Madhepura,Bhimpura,86.8475,25.9103,2023,7.94,788,0,360,39,0.42,40,0,0,335,80,33,22,12,-,-,2.57
646,Bihar,Madhepura,Madhepura,86.7893,25.9172,2023,7.94,682,0,207,60,0.39,44,49,0.08,250,80,12,36,13,-,-,0
647,Bihar,Madhepura,Surajganj,86.7348,26.049,2023,7.75,251,0,116,11,0.28,16,1,0,105,18,15,7,5,-,-,0
648,Bihar,Madhepura,Gaushala Chowk,86.9987,25.905,2023,7.63,970,0,348,99,0.32,51,6,0,295,48,43,74,25,-,-,0
649,Bihar,Madhepura,Hathkora Bazar,86.892,25.9076,2023,7.7,841,0,317,75,0.86,44,6,0,255,48,33,69,12,-,-,0.31
650,Bihar,Madhepura,Murliganj,86.9963,25.8916,2023,8.03,1944,0,665,231,0.19,88,4,0,640,136,73,139,23,-,-,0
651,Bihar,Madhepura,Rajui Rajni Goth,86.9905,25.8247,2023,8.12,801,0,262,67,0.25,66,28,0,335,68,40,25,12,-,-,3.2
652,Bihar,Madhepura,Rampur,86.9516,25.8933,2023,7.99,664,0,299,32,0.54,40,1,0,280,54,35,16,13,-,-,0
653,Bihar,Madhepura,Barhari,86.807,26.08,2023,7.83,711,0,348,25,0.31,35,2,0.18,295,66,32,11,29,-,-,1.23
654,Bihar,Madhepura,Jiwachhapur,86.7653,26.0272,2023,7.68,502,0,183,36,0.55,36,18,0,175,34,22,28,11,-,-,16.11
655,Bihar,Madhepura,Singheshwar,86.7956,25.9842,2023,7.67,499,0,207,18,0.59,30,22,0.11,185,30,27,25,9,-,-,2.37
656,Bihar,Madhubani,Harri,86.3028,26.3276,2023,7.95,448,0,260,11,0.7,11,1,0,70,26,1,68,1,-,-,5.9
657,Bihar,Madhubani,Babu Barhi,86.2755,26.4547,2023,8.1,759,0,455,25,0.89,9,0,0,210,28,34,95,1,-,-,4.44
658,Bihar,Madhubani,Mansinghpatti,86.0084,26.5613,2023,8.02,415,0,246,11,0.72,8,0,0,150,46,9,29,1,-,-,4.61
659,Bihar,Madhubani,Benipatti,85.9074,26.4436,2023,8.14,334,0,166,29,0.29,1,0,0,90,20,10,35,1,-,-,1.01
660,Bihar,Madhubani,Dharjaki,85.9493,26.4426,2023,7.64,1433,0,203,304,0.24,76,62,0,230,44,29,167,36,-,-,3.53
661,Bihar,Madhubani,Kapasia,86.0369,26.421,2023,7.63,391,0,234,2,0.81,1,0,0,95,30,5,39,1,-,-,2.7
662,Bihar,Madhubani,Jagben,85.8312,26.3518,2023,8.14,463,0,258,7,0.83,1,0,0,85,14,12,57,1,-,-,1.01
663,Bihar,Madhubani,Kishipatti,86.4814,26.2872,2023,7.73,867,0,264,92,0.86,35,11,0,225,28,38,90,45,-,-,2.91
664,Bihar,Madhubani,Baurahar Chowk,85.9859,26.6337,2023,7.9,705,0,295,64,0.83,47,8,0,210,60,15,67,12,-,-,2.68
665,Bihar,Madhubani,Harlakhi,85.9859,26.6337,2023,8.11,340,0,203,0,0.27,15,0,0,125,30,12,23,2,-,-,2.01
666,Bihar,Madhubani,Jaynagar,86.1366,26.59,2023,7.93,413,0,215,28,0.33,2,1,0,125,30,12,37,1,-,-,6.8
667,Bihar,Madhubani,Behat North,86.2654,26.228,2023,7.73,1525,0,492,202,0.84,72,11,0,480,90,62,117,43,-,-,3.45
668,Bihar,Madhubani,Bideshwar Asthan,86.2224,26.2301,2023,7.8,689,0,264,75,0.27,30,1,0,175,30,24,70,11,-,-,2.97
669,Bihar,Madhubani,Jhanjharpur,86.2798,26.2668,2023,8.11,480,0,252,20,0.75,12,0,0,90,14,12,68,2,-,-,2.29
670,Bihar,Madhubani,Radh Village,86.0325,26.5145,2023,8.13,829,0,418,57,0.59,15,2,0,250,68,19,53,33,-,-,1.56
671,Bihar,Madhubani,Karmauli,86.1026,26.4496,2023,6.94,780,0,258,82,0.15,56,0,0,105,12,18,65,88,-,-,2.13
672,Bihar,Madhubani,Karmnali,86.1037,26.4496,2023,8.17,476,0,271,7,0.84,13,0,0,155,34,17,52,1,-,-,1.88
673,Bihar,Madhubani,Khajauli,86.16,26.4817,2023,8.21,650,0,252,68,0.2,27,2,0,140,16,24,78,16,-,-,7.25
674,Bihar,Madhubani,Narar,86.0934,26.5216,2023,8.37,1577,9,394,209,0.23,177,11,0,335,38,58,142,87,-,-,15.57
675,Bihar,Madhubani,Thantola,86.1141,26.5133,2023,8.06,380,0,234,2,0.64,4,0,0,95,18,12,54,2,-,-,3.45
676,Bihar,Madhubani,Bentadih,86.16,26.4817,2023,7.82,560,0,295,45,0.54,8,1,0,170,28,24,49,6,-,-,5.79
677,Bihar,Madhubani,Lakhnaur,86.3083,26.2015,2023,8.1,1464,0,517,206,0.82,72,5,0,315,38,53,109,117,-,-,5.79
678,Bihar,Madhubani,Ambedkar Nagar,86.3982,26.5047,2023,8.26,546,0,363,11,0.71,9,0,0,165,26,24,67,1,-,-,1.23
679,Bihar,Madhubani,Laukaha,86.4665,26.547,2023,7.8,495,0,283,28,0.48,9,4,0,200,60,12,19,8,-,-,2.77
680,Bihar,Madhubani,Bhagwanpur,86.3509,26.1211,2023,7.61,689,0,418,25,0.73,17,0,0,180,24,29,78,19,-,-,6.23
681,Bihar,Madhubani,Bihari,85.8319,26.5791,2023,7.82,368,0,234,7,0.44,8,0,0,95,34,2,44,1,-,-,3.77
682,Bihar,Madhubani,Madhubani,86.0705,26.3509,2023,8.36,1455,9,332,310,0.79,65,1,0,175,20,30,240,50,-,-,1.6
683,Bihar,Madhubani,Baingra,85.8321,26.4941,2023,8.25,460,0,215,32,0.36,19,0,0,145,40,11,19,19,-,-,1.56
684,Bihar,Madhubani,Bhawanipur,86.1002,26.2457,2023,7.93,455,0,271,13,0.71,2,0,0,110,20,15,54,5,-,-,2.43
685,Bihar,Madhubani,Pandaul,86.0743,26.2545,2023,8.43,375,18,221,4,0.48,1,0,0,90,20,10,41,1,-,-,6.23
686,Bihar,Madhubani,Shambhuar,86.065,26.2952,2023,7.95,1192,0,523,87,0.42,91,0,0.04,220,12,46,46,201,-,-,2.43
687,Bihar,Madhubani,Kapileshwar,86.0006,26.3507,2023,7.85,1080,0,498,93,1.01,48,2,0.02,260,30,45,113,48,-,-,5.24
688,Bihar,Madhubani,Phulparas (Shiv Mandir),86.4905,26.3519,2023,8.28,363,0,215,2,0.96,0,0,0.01,125,28,13,23,1,-,-,1.23
689,Bihar,Madhubani,Phulparas 1,86.4906,26.3532,2023,7.93,370,0,234,4,0.69,9,0,0,140,40,10,26,2,-,-,4.44
690,Bihar,Madhubani,Siswar,86.4559,26.426,2023,8.24,482,0,228,45,0.38,1,0,0.11,150,36,15,52,2,-,-,2.68
691,Bihar,Madhubani,Pariharpur,86.1199,26.4029,2023,8.06,487,0,308,11,0.81,13,0,0.03,125,30,12,51,1,-,-,2.68
692,Bihar,Munger,Bariarpur,86.5751,25.2887,2023,7.73,1163,0,342,149,0.43,83,7,0.17,415,84,50,74,2,-,-,0.85
693,Bihar,Munger,Mahadeva,86.5751,25.2887,2023,7.79,513,0,183,64,0.38,16,0,0,155,30,19,44,2,-,-,0.37
694,Bihar,Munger,Jamalpur,86.4917,25.3208,2023,7.83,696,0,201,99,0.45,35,3,0,195,40,23,70,1,-,-,1.93
695,Bihar,Munger,Singhiya Chowk,86.4032,25.3023,2023,7.85,1339,0,397,163,0.93,97,6,0.06,440,100,46,104,3,-,-,0
696,Bihar,Munger,Gangta Morh,86.5036,25.0466,2023,8.09,612,0,244,57,0.58,22,0,0,155,30,19,69,1,-,-,0.65
697,Bihar,Munger,Gobadda,86.5738,25.1868,2023,7.95,1138,0,366,170,0.79,22,2,0.11,380,68,51,87,1,-,-,1.52
698,Bihar,Munger,Rampur,86.638,25.0338,2023,7.98,434,0,122,71,0.07,11,3,0,160,36,17,27,1,-,-,0
699,Bihar,Munger,Tarapur,86.6626,25.0904,2023,8.01,1022,0,299,142,0.45,43,22,0.09,325,72,35,85,1,-,-,0
700,Bihar,Muzzafarpur,Aurai,85.5651,26.3175,2023,8.21,727,0,311,57,0.59,17,14,0,250,76,15,47,9,-,-,1.36
701,Bihar,Muzzafarpur,Rajkhand,85.5592,26.3431,2023,7.92,1609,0,433,249,0.3,89,9,0,400,82,47,171,24,-,-,0
702,Bihar,Muzzafarpur,Bandra,85.6198,26.0677,2023,7.84,849,0,360,53,0.31,52,2,0,345,134,2,32,6,-,-,0.36
703,Bihar,Muzzafarpur,Muhammadpur Balmi,85.1487,26.2796,2023,7.81,693,0,366,11,0.46,32,0,0,275,54,34,30,4,-,-,5.68
704,Bihar,Muzzafarpur,Bochaha (New Well),85.469,26.1625,2023,7.96,863,0,366,53,0.45,45,7,0,305,74,29,46,20,-,-,0
705,Bihar,Muzzafarpur,"Sarfuddin-Pur,(Bawanbigha)",85.53,26.1173,2023,8.18,767,0,354,39,0.23,35,5,0,290,86,18,39,6,-,-,0
706,Bihar,Muzzafarpur,Shukrahat (Maidapur),85.5521,26.1125,2023,8.09,1128,0,458,71,0.39,79,9,0.18,450,124,34,44,13,-,-,0
707,Bihar,Muzzafarpur,Dholi (Tola Jahangirpur),85.5888,25.9979,2023,7.83,1629,0,616,117,0.53,98,48,0,430,76,58,164,23,-,-,0
708,Bihar,Muzzafarpur,Ramnagar,85.5635,26.1781,2023,8.19,603,0,336,11,0,8,7,0,225,62,17,32,4,-,-,0
709,Bihar,Muzzafarpur,Tiwari Tola,85.3123,26.2279,2023,7.94,1098,0,366,117,0.41,74,4,0,385,60,57,63,22,-,-,1.97
710,Bihar,Muzzafarpur,Katra1,85.6389,26.2205,2023,7.07,459,0,226,18,0.53,15,2,0,120,28,12,50,1,-,-,0
711,Bihar,Muzzafarpur,Mahant Manihari,85.4443,26.0358,2023,8.11,1202,0,397,117,0.45,108,1,0,295,74,27,137,3,-,-,3.05
712,Bihar,Muzzafarpur,Sakrichatti,85.3546,26.0504,2023,7.89,1065,0,384,85,0.26,61,44,0,335,100,21,82,13,-,-,2.05
713,Bihar,Muzzafarpur,Turki,85.3497,26.0291,2023,8.03,1951,0,427,323,0.41,134,40,0.21,540,100,70,185,25,-,-,0.03
714,Bihar,Muzzafarpur,Gargalia (Minapur),85.3537,26.2437,2023,8.03,701,0,378,14,0.32,18,0,0,310,102,13,16,7,-,-,2.39
715,Bihar,Muzzafarpur,Digra (Dighra Patti),85.4226,26.0719,2023,7.91,1156,0,390,114,0.75,88,3,0,285,72,26,124,20,-,-,1.02
716,Bihar,Muzzafarpur,Patahi,85.3415,26.1186,2023,8.15,819,0,464,14,0.48,10,2,0,290,52,39,52,4,-,-,1.29
717,Bihar,Muzzafarpur,Japaha,85.3989,26.19,2023,7.85,1691,0,671,128,0.26,90,28,0.11,430,92,49,178,22,-,-,0
718,Bihar,Muzzafarpur,Baghwanpur Chowk,85.469,26.1625,2023,8.03,852,0,458,18,0.69,17,7,0,250,56,27,80,5,-,-,0.54
719,Bihar,Muzzafarpur,Bajidpur,85.0957,26.1337,2023,8.07,968,0,458,21,0.36,78,0,0,365,80,40,51,5,-,-,0
720,Bihar,Muzzafarpur,Paroo,85.0664,26.09,2023,7.95,2092,0,555,266,0.68,201,2,0.24,595,168,43,199,16,-,-,0
721,Bihar,Muzzafarpur,(Mehadiganj) Dewaria,85.0166,26.1738,2023,7.96,1135,0,360,128,0.51,89,1,0,505,134,41,23,6,-,-,0
722,Bihar,Muzzafarpur,Jaffarpur (Bichalatola),85.0206,26.0863,2023,8.01,747,0,348,25,0.49,52,0,0,300,70,30,31,4,-,-,2.32
723,Bihar,Muzzafarpur,Daha Chapra,84.978,26.2223,2023,7.84,664,0,305,14,0.58,59,0,0,275,62,29,24,2,-,-,0
724,Bihar,Muzzafarpur,Parwal Patti,84.9428,26.2964,2023,8.12,825,0,433,14,0.36,34,1,0,340,78,35,32,4,-,-,8.14
725,Bihar,Muzzafarpur,Rajwara,84.9395,26.2585,2023,7.89,2494,0,647,359,0.89,195,2,0.28,740,84,129,210,39,-,-,4.29
726,Bihar,Muzzafarpur,Sahebganj,84.9329,26.3002,2023,8.18,805,0,403,18,0.58,45,0,0,305,60,38,41,4,-,-,3.97
727,Bihar,Muzzafarpur,Seho(Siho),85.5065,26.0065,2023,8.05,737,0,348,25,0.58,46,3,0,265,58,29,45,2,-,-,0.25
728,Bihar,Muzzafarpur,Mahmudpur Baya,85.1507,26.0493,2023,7.79,1258,0,397,121,0,124,4,0.09,475,94,58,69,6,-,-,6.71
729,Bihar,Nalanda,Asthwan,85.6253,25.2169,2023,7.89,1059,0,488,75,0.01,18,1,0,320,92,22,95,2,-,-,3.8
730,Bihar,Nalanda,Jangipur,85.6911,25.1956,2023,7.85,759,0,336,50,1.27,15,15,0,285,96,24,39,2,-,-,13
731,Bihar,Nalanda,Sare,85.6844,25.2094,2023,7.26,503,0,201,32,1.36,35,8,0.16,190,56,12,28,2,-,-,0
732,Bihar,Nalanda,Bhui,85.4183,25.1058,2023,7.93,1930,0,622,156,1.1,217,2,0.11,145,42,9,376,0,-,-,2.3
733,Bihar,Nalanda,Bhind,85.6913,25.3055,2023,7.81,719,0,354,25,1.16,18,7,0,175,66,17,83,1,-,-,0
734,Bihar,Nalanda,B Sharif Rly Stn,85.5389,25.2017,2023,7.29,2960,0,610,533,1.09,200,10,0.5,405,92,24,491,2,-,-,15
735,Bihar,Nalanda,Biharsharif,85.5125,25.2083,2023,7.9,1387,0,378,174,1.14,101,24,0,470,44,32,98,1,-,-,0
736,Bihar,Nalanda,Maghra,85.4939,25.1931,2023,7.81,1230,0,470,128,1.24,23,23,0,155,52,12,208,1,-,-,0
